ID,Funcionalidad,Caso de prueba,Precondiciones,Pasos,Resultado esperado,Automatizado
S2-01,Saldo cuenta,Consultar saldo con token válido,Usuario registrado y token JWT,GET /accounts/{id} con Authorization Bearer,200 y body con balance,Sí
S2-02,Saldo cuenta,Consultar saldo sin token,-,GET /accounts/1 sin header,401,Sí
S2-03,Saldo cuenta,Consultar saldo de cuenta de otro usuario,Token usuario A y cuenta de B,GET /accounts/{idB} con token A,403,Sí
S2-04,Transacciones,Listar movimientos con token,Cuenta existente,GET /accounts/{id}/transactions con token,200 y array,Sí
S2-05,Transacciones,Listar movimientos sin token,-,GET /accounts/1/transactions sin token,401,Sí
S2-06,Perfil usuario,Ver perfil propio,Usuario registrado,GET /users/{id} con token del mismo id,200 con cvu y alias,Sí
S2-07,Perfil usuario,Ver perfil de otro usuario,Token usuario A,GET /users/{idB} con token A,403,Sí
S2-08,Perfil usuario,Ver perfil sin token,-,GET /users/1 sin token,401,Sí
S2-09,Tarjetas,Crear tarjeta,Usuario autenticado,POST /cards con number type holderName expiry,201 y body con id,Sí
S2-10,Tarjetas,Asociar tarjeta a cuenta,Tarjeta creada y cuenta,POST /accounts/{id}/cards con cardId,201,Sí
S2-11,Tarjetas,Asociar tarjeta ya asociada a otra cuenta,Tarjeta con accountId distinto,POST /accounts/{id}/cards con esa tarjeta,409,Sí
S2-12,Tarjetas,Listar tarjetas de la cuenta,Cuenta con tarjetas,GET /cards/accounts/{accountId}/cards con token,200 y lista,Sí
S2-13,Tarjetas,Detalle de una tarjeta,Tarjeta existente,GET /cards/accounts/{accountId}/cards/{cardId},200 y detalle,Sí
S2-14,Tarjetas,Eliminar tarjeta,Tarjeta asociada,DELETE /cards/accounts/{accountId}/cards/{cardId},200,Sí
S2-15,Tarjetas,Detalle tarjeta inexistente,-,GET con cardId inexistente,404,Sí
S2-16,Resumen cuenta,Obtener CVU y alias por userId,Usuario con cuenta,GET /accounts/by-user/{userId} con token,200 con cvu y alias,Sí
S2-17,Validación,Crear tarjeta sin campos obligatorios,-,POST /cards body vacío,400,Sí
